Sexo;Edad;Estrato;Programa Académico;Año;P1 ;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33
Mujer;26;Estrato 3;Filosofia;2014;Cristiano;Nunca;Ninguna;Asistia por crianza;Oracion;Poco importante;Poco importante;Poco importante;Poco importante;Poco importante;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;Si
Mujer;19;Estrato 2;Trabajo Social;2017;Agnostico;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;Totalmente en desacuerdo;De acuerdo;En desacuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;21;Estrato 3;Licenciatura Filosofia;2017;Ninguna;Nunca;Movimiento social o politico;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Mujer;21;Estrato 2;Trabajo Social;2016;Ninguna;Nunca;Grupo Cultural;Herencia cultural ;Acompañamiento;Poco importante;Poco importante;Poco importante;Poco importante;Nada importante;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Centro;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Cristiana;No sabe;No
Mujer;24;Estrato 3;Trabajo Social;2018;Ateo;Nunca;Movimiento social o politico;Ninguna;Ninguna;Ni poco importante Ni importante;Poco importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Mujer;20;Estrato 4;Trabajo Social;2016;Catolico;Nunca;Ninguna;Ninguna;Acompañamiento;Ni poco importante Ni importante;Poco importante;Poco importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Centro;En desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Todas las anteriores;Obras sociales;No
Mujer;21;Estrato 1;Trabajo Social;2017;Ninguna;Nunca;Movimiento social o politico;Ninguna;Acompañamiento;Nada importante;Nada importante;Nada importante;Importante;Ni poco importante Ni importante;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Ni de acuerdo Ni en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Catolica;No sabe;No
Mujer;23;Estrato 4;Licenciatura Filosofia;2013;Catolico;Nunca;Ninguna;Algún suceso familiar o social ( Bautizo, primera comunión, matrimonio, ceremonia litúrgica como la velación).;"Valores;Moral, Etica";Poco importante;Importante;Poco importante;Poco importante;Nada importante;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Todas las anteriores;Lider religioso;No
Mujer;20;Estrato 4;Trabajo Social;2016;Catolico;3 a 4 veces por semana;Movimiento social o politico;Creer en Dios;"Oración;Acompañamiento";Muy importante;Muy importante;Muy importante;Importante;Importante;De acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Centro;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Cristiana;Conservacion del templo;Si
Mujer;23;Estrato 4;Filosofia;2015;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Importante;Poco importante;Poco importante;Nada importante;Nada importante;Totalmente en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;20;Estrato 2;Filosofia;2016;Agnostico;Nunca;Grupo Cultural;Ninguna;Moral, Etica;Nada importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Apolítico;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Todas las anteriores;No sabe;Si
Mujer;26;Estrato 3;Filosofia;2010;Catolico;1 vez por semana;Ninguna;Creer en Dios;"Oracion;Moral, Etica";Muy importante;Muy importante;Poco importante;Importante;Nada importante;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Cristiana;Personas necesitadas;No
Mujer;19;Estrato 4;Trabajo Social;2017;Catolico;Nunca;Ninguna;Crianza;Ninguna;Poco importante;Poco importante;Poco importante;Poco importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Todas las anteriores;No sabe;No sabe
Mujer;21;Estrato 2;Trabajo Social;2017;Agnostico;Nunca;Grupo Cultural;Ninguna;Oracion;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Nada importante;En desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Izquierda;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Cristiana;No sabe;Si
Hombre;21;Estrato 3;Licenciatura Filosofia;2018;Agnostico;Nunca;Ninguna;Ninguna;Moral, Etica;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Todas las anteriores;No sabe;No sabe
Mujer;18;Estrato 3;Trabajo Social;2018;Agnostico;Nunca;Ninguna;Ninguna;Acompañamiento;Nada importante;Poco importante;Poco importante;Nada importante;Nada importante;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Catolica;No sabe;No sabe
Hombre;25;Estrato 3;Filosofia;2013;Cristiano;Nunca;Ninguna;Crianza;"Valores;Oracion";Importante;Ni poco importante Ni importante;Poco importante;Ni poco importante Ni importante;Nada importante;En desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Todas las anteriores;No sabe;Si
Hombre;20;Estrato 1;Filosofia;2015;Catolico;Nunca;Ninguna;Crianza;Valores;Nada importante;Poco importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Apolítico;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
