Sexo;Edad;Estrato;Programa Académico;Año;P1 ;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33
Mujer;22;Estrato 1;Licenciatura Filosofia;2014;Catolico;Nunca;Ninguna;Crianza;Oracion;Poco importante;Poco importante;Nada importante;Nada importante;Ni poco importante Ni importante;En desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;18;Estrato 4;Licenciatura Filosofia;2018;Ateo;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Poco importante;Poco importante;Nada importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Evangelica;No sabe;No sabe
Mujer;20;Estrato 2;Filosofia;2016;Ninguna;Nunca;Ninguna;Crianza;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Poco importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Todas las anteriores;No sabe;Si
Mujer;21;Estrato 3;Trabajo Social;2017;Ninguna;Nunca;Ninguna;Si en algún momento me tocara asisitir, seria por alguna excepcion  (muerte de familiar,matrimonio,etc.), ya que mi familia es católica.;Ninguna;Nada importante;Nada importante;Ni poco importante Ni importante;Nada importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Mujer;22;Estrato 4;Licenciatura Filosofia;2014;Ninguna;Nunca;Grupo Animalista;Ninguna;Ninguna;Nada importante;Importante;Nada importante;Poco importante;Poco importante;En desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Centro;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;Lider religioso;No sabe
Hombre;26;Estrato 4;Filosofia;2010;Ateo;Nunca;Movimiento social o politico;Ninguna;Acompañamiento;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Izquierda;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;23;Estrato 3;Filosofia;2016;Catolico;2 veces por semana;Iglesia;Crianza;"Valores;Acompañamiento";Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Derecha;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Catolica;Obras sociales;No
Mujer;23;Estrato 2;Filosofia;2013;Agnostico;Nunca;Ninguna;Ninguna;Valores;Poco importante;Importante;Importante;Poco importante;Nada importante;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Centro;En desacuerdo;En desacuerdo;En desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Todas las anteriores;No sabe;No
Mujer;20;Estrato 3;Trabajo Social;2016;Cristiano;1 vez por semana;Iglesia;Creer en Dios;"Valores;Oracion";Importante;Importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;De acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;No sabe/No Responde;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Catolica;No sabe;No sabe
Mujer;20;Estrato 2;Filosofia;2016;Ninguna;Nunca;Ninguna;Ninguna;Valores;Poco importante;Ni poco importante Ni importante;Poco importante;Poco importante;Nada importante;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;22;Estrato 2;Filosofia;2018;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Poco importante;Importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Apolítico;De acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Todas las anteriores;No sabe;No sabe
Mujer;22;Estrato 4;Licenciatura Filosofia;2014;Ateo;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;Todas las anteriores;No sabe;Si
